module	role	import
NumStability.Source.Higham.Chapter14.Problem13.ConditionNumberBounds.UnitRowAndScalarCase	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem11.HadamardCondition.MatrixInversion
NumStability.Source.Higham.Chapter14.Problem13.ConditionNumberBounds.UnitRowAndScalarCase	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem13.GEJBound.MatrixInversion
NumStability.Source.Higham.Chapter14.Problem14	aggregate	Mathlib.Algebra.BigOperators.Fin
NumStability.Source.Higham.Chapter14.Problem14	aggregate	Mathlib.Algebra.BigOperators.Group.Finset.Basic
NumStability.Source.Higham.Chapter14.Problem14	aggregate	Mathlib.Algebra.BigOperators.Ring.Finset
NumStability.Source.Higham.Chapter14.Problem14	aggregate	Mathlib.Data.Real.Basic
NumStability.Source.Higham.Chapter14.Problem14	aggregate	Mathlib.LinearAlgebra.Matrix.Determinant.Basic
NumStability.Source.Higham.Chapter14.Problem14	aggregate	Mathlib.Tactic.Linarith
NumStability.Source.Higham.Chapter14.Problem14	aggregate	Mathlib.Tactic.Ring
NumStability.Source.Higham.Chapter14.Problem14	aggregate	NumStability.Algorithms.DotProduct
NumStability.Source.Higham.Chapter14.Problem14	aggregate	NumStability.Algorithms.LinearSystems.Triangular.BackSubstitution
NumStability.Source.Higham.Chapter14.Problem14	aggregate	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Problem14	aggregate	NumStability.Analysis.Rounding
NumStability.Source.Higham.Chapter14.Problem14	aggregate	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Problem14	aggregate	NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError
NumStability.Source.Higham.Chapter14.Problem14	aggregate	NumStability.Source.Higham.Chapter14.Problem14.HymanDeterminant.MatrixInversion
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	Mathlib.Algebra.BigOperators.Fin
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	Mathlib.Algebra.BigOperators.Group.Finset.Basic
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	Mathlib.Algebra.BigOperators.Ring.Finset
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	Mathlib.Data.Real.Basic
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	Mathlib.LinearAlgebra.Matrix.Determinant.Basic
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	Mathlib.Tactic.Linarith
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	Mathlib.Tactic.Ring
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	NumStability.Algorithms.DotProduct
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	NumStability.Algorithms.LinearSystems.Triangular.BackSubstitution
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	NumStability.Analysis.Rounding
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Equation35.HymanBlockFactorization.MatrixInversion
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem14.HymanDeterminant.MatrixInversion
NumStability.Source.Higham.Chapter14.Problem15	aggregate	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Problem15	aggregate	NumStability.Analysis.SingularValues.Realification
NumStability.Source.Higham.Chapter14.Problem15	aggregate	NumStability.Analysis.SingularValues.WeylMirsky
NumStability.Source.Higham.Chapter14.Problem15	aggregate	NumStability.Source.Higham.Chapter14.Problem13
NumStability.Source.Higham.Chapter14.Problem15	aggregate	NumStability.Source.Higham.Chapter14.Problem15.DeterminantPerturbation.MatrixInversion
NumStability.Source.Higham.Chapter14.Problem15	aggregate	NumStability.Source.Higham.Chapter14.Problem15.SingularValueGuards.DeterminantSignAndRelativeBounds
NumStability.Source.Higham.Chapter14.Problem15.SingularValueGuards.DeterminantSignAndRelativeBounds	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Problem15.SingularValueGuards.DeterminantSignAndRelativeBounds	canonical-destination(new)	NumStability.Analysis.MatrixNorms.Basic
NumStability.Source.Higham.Chapter14.Problem15.SingularValueGuards.DeterminantSignAndRelativeBounds	canonical-destination(new)	NumStability.Analysis.SingularValues.Basic
NumStability.Source.Higham.Chapter14.Problem15.SingularValueGuards.DeterminantSignAndRelativeBounds	canonical-destination(new)	NumStability.Analysis.SingularValues.Realification
NumStability.Source.Higham.Chapter14.Problem15.SingularValueGuards.DeterminantSignAndRelativeBounds	canonical-destination(new)	NumStability.Analysis.SingularValues.WeylMirsky
NumStability.Source.Higham.Chapter14.Problem15.SingularValueGuards.DeterminantSignAndRelativeBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem13.GEJBound.MatrixInversion
NumStability.Source.Higham.Chapter14.Problem15.SingularValueGuards.DeterminantSignAndRelativeBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem15.DeterminantPerturbation.MatrixInversion
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	canonical-destination(new)	Mathlib.Analysis.Asymptotics.Lemmas
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	canonical-destination(new)	NumStability.Algorithms.LinearSystems.Triangular.ForwardSubstitution
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	canonical-destination(new)	NumStability.Algorithms.MatVec
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	canonical-destination(new)	NumStability.Analysis.FirstOrder.MatrixFamilies.AsymptoticFamilies
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	canonical-destination(new)	NumStability.Analysis.PerturbationTheory
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem05.InverseBasedSolve.AsymptoticFamilies
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.AsymptoticFamilies
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ForwardErrorEndpoint
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1.AsymptoticFamilies
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	canonical-destination(new)	Mathlib.Analysis.Asymptotics.Lemmas
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	canonical-destination(new)	NumStability.Algorithms.LinearSystems.Triangular.ForwardSubstitution
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	canonical-destination(new)	NumStability.Algorithms.MatrixInversion.Residuals.MatrixInversion
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	canonical-destination(new)	NumStability.Algorithms.MatrixInversion.Triangular.ErrorAnalysis.MatrixInversion
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	canonical-destination(new)	NumStability.Algorithms.MatVec
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	canonical-destination(new)	NumStability.Analysis.Rounding
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem05.InverseBasedSolve.ForwardErrorEndpoint
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem05.InverseBasedSolve.MatrixInversion
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ForwardErrorEndpoint
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1.ForwardErrorEndpoint
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockResidual.WholeMatrixBounds	canonical-destination(new)	NumStability.Analysis.Error.MatrixProducts.Contracts.MatrixInversion
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockResidual.WholeMatrixBounds	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockResidual.WholeMatrixBounds	canonical-destination(new)	NumStability.Analysis.Rounding
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockResidual.WholeMatrixBounds	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockResidual.WholeMatrixBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockTriInverse
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockResidual.WholeMatrixBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.Method1BWhole
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	canonical-destination(new)	Mathlib.Algebra.BigOperators.Fin
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	canonical-destination(new)	Mathlib.Algebra.BigOperators.Group.Finset.Basic
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	canonical-destination(new)	Mathlib.Algebra.Order.BigOperators.Group.Finset
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	canonical-destination(new)	Mathlib.Data.Real.Basic
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	canonical-destination(new)	Mathlib.Tactic.Linarith
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	canonical-destination(new)	Mathlib.Tactic.LinearCombination
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	canonical-destination(new)	Mathlib.Tactic.Ring
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	canonical-destination(new)	NumStability.Analysis.Rounding
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockTriInverse
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.Method2C
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.WholeMatrixResidual.LeftResidualBounds	canonical-destination(new)	NumStability.Analysis.Error.MatrixProducts.Contracts.MatrixInversion
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.WholeMatrixResidual.LeftResidualBounds	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.WholeMatrixResidual.LeftResidualBounds	canonical-destination(new)	NumStability.Analysis.Rounding
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.WholeMatrixResidual.LeftResidualBounds	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.WholeMatrixResidual.LeftResidualBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockTriInverse
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.WholeMatrixResidual.LeftResidualBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2.Method2Loop
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.WholeMatrixResidual.LeftResidualBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.WholeMatrixResidual.LeftResidualBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.Method2CWhole
NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics	canonical-destination(new)	NumStability.Algorithms.LinearSystems.GaussJordan.ErrorAnalysis.GaussJordan
NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics	canonical-destination(new)	NumStability.Analysis.FirstOrder.MatrixFamilies.AsymptoticFamilies
NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics	canonical-destination(new)	NumStability.Analysis.Rounding
NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.SecondStage.GaussJordanQConstruction
NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ForwardErrorEndpoint
NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GaussJordanQConstruction
NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEAsymptoticFamilies
NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	canonical-destination(new)	NumStability.Algorithms.LinearSystems.GaussJordan.ErrorAnalysis.GaussJordan
NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	canonical-destination(new)	NumStability.Algorithms.LU.GaussianElimination
NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	canonical-destination(new)	NumStability.Analysis.FirstOrder.MatrixFamilies.AsymptoticFamilies
NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	canonical-destination(new)	NumStability.Analysis.Rounding
NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.Accumulation.GaussJordanAccumulation
NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.SecondStage.GaussJordanQConstruction
NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.SecondStage.GaussJordanStep
NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics
NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEAsymptoticFamilies
NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEPrintedEnvelopeClosure
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.Algorithms.LinearSystems.GaussJordan.ErrorAnalysis.GaussJordan
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.Algorithms.LU.GaussianElimination
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.Analysis.FirstOrder.MatrixFamilies.AsymptoticFamilies
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.Analysis.Rounding
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.Accumulation.GaussJordanAccumulation
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.Pivoting.GaussJordanPivoting
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.SecondStage.GaussJordanQConstruction
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEAsymptoticFamilies
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEPrintedEnvelopeClosure
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJETheorem145SourceClosure
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds
